Exploratory,EP,Ta_2_ann,P_ann,soil_type,slope,aspect,elevation,type,mixture,N,DBH_sd,h_sd,SCI,CEA,BA,SDI,h,con_BA,age_MTS,H,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,VH_desc_year,VH_asc_year,VH_desc_winter,VH_asc_winter,VV_desc_year,VV_asc_year,VV_desc_winter,VV_asc_winter,S1_ndi_mean,S1_ndi_std,EVI_mean,EVI_std,EVI_contrast,EVI_diss,EVI_entr,EVI_idm,EVI_var,S1_contrast,S1_diss,S1_entr,S1_idm,S1_var,Q
SCH,SEW09,7.13836,630.69,Cambisol,1.99,257.49,78.96,Beech_unmanaged_mature_timber,pure,3,16.1291,0.5,4.8588,1.2679,42.9667,667.2973,35.33,0,149,0.20782596,195.8087244,516.4948297,249.4268474,1170.128073,3882.660337,4608.097276,4555.809967,4767.893554,1974.211199,875.7740588,-14.60682202,-14.08038039,-14.31129892,-13.80079488,-9.045506652,-8.720854631,-9.220888594,-8.918674541,0.215176923,0.022625186,0.739776883,0.019643199,10.60336167,2.640625,1.921159939,0.322577674,5.431278935,5.826388889,2,2.108887301,0.347767621,2.814354194,0.465148977
SCH,SEW10,9.58933,636.15,Cambisol,1.6,341.43,64.54,Pine_AC_pole_wood,pure,1,4.368,0.707106781,3.231,1.0224,30.4477,726.4515,15,100,36,0,161.0479768,303.0898639,173.1163387,513.9973078,1615.854377,1897.630587,1950.149044,2069.119924,1060.987503,527.1327267,-15.39120126,-14.48527147,-15.97646242,-15.51347649,-10.82585797,-10.25090212,-11.03499732,-11.04385727,0.181205362,0.026398965,0.37627507,0.020895529,1.794298406,1.020833333,1.603467481,0.567708333,0.781467788,6.310483078,2.0625,2.108887301,0.345010816,2.904079861,0.161680178
SCH,SEW11,,614.98,Cambisol,0.67,83.34,64.92,Pine_AC_pole_wood,pure,2,3.6524,0.875595036,3.9919,1.0367,42.5108,1078.9519,14.1,99.8084,32,0.019290296,148.9843636,302.7664065,194.8420019,564.2805497,1753.25405,2053.528181,2171.191975,2226.030826,979.2042371,500.4759106,-15.10432802,-15.08857871,-15.92407891,-16.11388461,-10.65784675,-10.64560141,-11.17568952,-11.59461626,0.173490753,0.02705916,0.405510892,0.02355383,1.264428873,0.875,1.619488457,0.591421569,0.634982639,5.15625,1.875,2.051125036,0.377790347,2.606072126,0.130642261
SCH,SEW12,8.1136,614.25,Cambisol,0.98,261.92,71.55,Pine_AC_pole_wood,pure,1,5.0674,0.632455532,4.2136,0.978,34.6861,813.6876,16.8,100,41,0,142.8880052,257.7146065,174.3543843,435.0220633,1372.727783,1638.72061,1702.884011,1786.620917,747.4003545,351.6036398,-15.19537956,-17.11278549,-16.17644293,-17.77816885,-10.77896922,-48.48837396,-11.35965354,-31.54940892,0.177063499,0.021635078,0.331529093,0.027141634,2.822916667,1.354166667,1.661229746,0.509299203,1.141749005,5.319426265,1.875,2.051125036,0.368046729,2.593628388,0.168351834
SCH,SEW13,8.443915,585.23,Podzol,4.65,78.92,67.22,Pine_AC_immature_timber,pure,2,5.1837,0,3.8127,1.2274,50.4918,1072.4921,19,99.5837,52,0.036254049,266.7416944,400.7897603,305.7339108,664.1393806,1722.863147,2031.635228,2144.503026,2241.558875,1149.400902,594.8875297,-14.49824582,-14.47328696,-15.3046299,-15.17436763,-9.915568074,-10.02292227,-10.56760609,-10.62070486,0.182050257,0.021136491,0.383936451,0.027260745,0.762152098,0.75462963,1.53126465,0.647627193,0.381953886,5.910900298,1.9375,2.036684469,0.388688377,2.609706232,0.423298889
SCH,SEW14,9.109869,612.59,Cambisol,2.38,203.25,70.44,Pine_AC_immature_timber,pure,1,4.924,0.971825316,2.5557,1.2307,31.0526,620.7041,23.22,100,48,0,269.2725609,349.8883239,269.649836,579.9630043,1544.708478,1853.343368,1960.002661,2059.209785,1090.327472,560.5162524,-15.19980728,-16.37827357,-16.16992537,-16.71460711,-10.66885643,-48.48994347,-11.16061705,-31.50814345,0.183821676,0.020336946,0.365574743,0.02913521,2.950509327,1.354166667,1.76231371,0.474833037,1.289390983,5.060536202,1.791666667,2.036684469,0.395324284,2.329861111,0.150905641
SCH,SEW15,9.040088,657.1,Cambisol,0.01,351.87,65,Pine_AC_immature_timber,pure,1,5.1087,0.5,3.194,1.2402,36.0559,760.0891,22,100,46,0,229.5895958,326.5496489,262.7326241,550.285084,1450.81349,1744.675289,1846.620766,1941.783767,1101.373482,563.8809422,-14.97608904,-15.02377133,-15.63113951,-15.40813458,-10.39185253,-11.92504948,-10.89980608,-21.39722735,0.176078301,0.02590755,0.336073663,0.029178076,1.193968142,0.792277313,1.510057632,0.625160256,0.388423012,4.302083333,1.631023888,1.964481638,0.420873061,2.184291235,0.171320931
SCH,SEW16,8.990736,563.19,Cambisol,0.33,232.36,69.98,Pine_AC_mature_timber,pure,6,9.4149,0.971825316,2.6413,1.2876,30.883,515.7206,31.5,95.0686,94,0.590588855,191.5003183,369.8870618,259.3753802,683.6260815,1698.784839,1986.581394,2134.083587,2244.172372,1462.56851,772.2008746,-14.48813557,-14.2765866,-14.78405291,-15.10633683,-9.493823779,-9.456692313,-9.6389603,-10.08635899,0.21433188,0.0258217,0.384727001,0.029541175,8.645833333,2.379166667,1.993362771,0.337748199,4.297417535,6.337657233,1.979166667,2.065565602,0.369157711,3.075668161,0.328255268
SCH,SEW17,8.32674,644.43,Cambisol,2.64,234.63,64.25,Pine_AC_mature_timber,pure,4,14.4626,1.732050808,4.7451,1.1669,35.6116,605.6794,29.67,94.8238,109,0.856873915,207.1022374,359.4546706,227.4101834,632.9442665,1676.076637,1978.083849,2073.336655,2184.840084,1175.707239,570.3382922,-14.91080953,-13.68642954,-15.3866318,-14.40466023,-10.04395056,-9.004232056,-10.43951096,-9.741357297,0.192562026,0.027904207,0.388223807,0.033684588,3.708333333,1.479166667,1.827155102,0.474608091,1.743200231,6.655142805,2.104166667,2.051125036,0.34620098,3.174218114,0.219415412
SCH,SEW18,9.92702,611.26,Cambisol,0.99,271.63,48.26,Pine_AC_immature_timber,pure,7,8.0933,1.035098339,3.5975,1.2018,36.1388,670.5887,29.25,96.0314,90,0.527969185,302.7991339,494.9481624,371.2757058,772.585193,1891.745971,2182.557789,2269.036396,2389.952907,1422.618986,724.1264761,-14.83513198,-13.96598975,-15.3170916,-14.77441905,-10.10055495,-9.401667375,-10.29077997,-9.79012123,0.196548207,0.022767522,0.383341575,0.034438553,3.432291667,1.479166667,1.819033684,0.455555556,1.802951389,6.697916667,2.125,2.065565602,0.353712276,3.149884259,0.24185343
